productID,Date,ProductName,Raw[kg/m^3],TargetWeight[gram],FinalWeight[gram],Per_Error[%],ServingCounter,MainSteeperMotor_STEPS[step],SubStepperMotor_STEPS[step],StepperCountFactor[degrees/step],StepperDataSheetsFactor[degrees/step],ARD_Steps[step],QFactor[%],FeedPercentage[%],Prev_Error_Per[%],MainSteeperMotor_Duration[sec],MainSteeperMotor_RPM[rev/min],SubSteeperMotor_Duration[sec],SubSteeperMotor_RPM[rev/min],DateTimeElements,day,month,year,MSM_Mass_Flow_Pitch[kg/Cyc],MSM_Mass_Flow_Deg[kg/Deg],MSM_Mass_Flow_Step[kg/Step],SSM_Mass_Flow_Pitch[kg/Cyc],SSM_Mass_Flow_Deg[kg/Deg],SSM_Mass_Flow_Step[kg/Step],PRACTICAL_VOL_RATIO_MSM_SSM,REQ_Vol_Total[kg/Cyc],Dynamic_Q,REQ_BOTH_VOL[kg/m^3],REQ_SECOND_VOL[kg/m^3],BOTH_VOL_FOR_PITCH[kg/m^3],REQ_STEP_BOTH[step],REQ_STEP_SECOND[step],REQ_MSM_STEPS[step],REQ_SSM_STEPS[step],M_Flow,V_Flow,TRUE_VOL_SSM_CYC[m^3/Cyc],TRUE_SSM_FACTOR_FILL<0-1>,TRUE_VOL_MSM_CYC[m^3/Cyc],TRUE_MSM_FACTOR_FILL<0-1>,MSM_Factor_FILL,SSM_Factor_FILL,Practicl_MSM_VOL_PITCH[m^3/Cyc],Practicl_SSM_VOL_PITCH[m^3/Cyc]
3806057986,7/5/2020,סוכר לבן 20,1587,20,22,8,1,72,72,8,5.625,37,65,110,0,4.658,14,4.666,14,3806057986,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.004918,0.000003,0.00000018,0.024449,0.000018,0.024449,0.25,0.25,187.5,1.875
3806058248,7/5/2020,סוכר לבן 20,1587,20,24,4,2,55,75,8,5.625,38,65,120,0,4.876,10,4.88,14,3806058248,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.004918,0.000003,0.00000018,0.024449,0.000018,0.024449,0.25,0.25,187.5,1.875
3806057986,7/5/2020,סוכר לבן 20,1587,20,22,8,1,72,72,8,5.625,37,65,110,0,4.658,14,4.666,14,3806057986,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000019,90.444444,0.000017,0.000002,0.000189,0.090283,0.963383,0.090283,1.053666,0.001903,0.000001,0.00000006,0.00862,0.000006,0.00862,0.25,0.25,187.5,1.875
3806058248,7/5/2020,סוכר לבן 20,1587,20,24,4,2,55,75,8,5.625,38,65,120,0,4.876,10,4.88,14,3806058248,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000019,90.444444,0.000017,0.000002,0.000189,0.090283,0.963383,0.090283,1.053666,0.001903,0.000001,0.00000006,0.00862,0.000006,0.00862,0.25,0.25,187.5,1.875
3806060515,7/5/2020,סוכר לבן 20,1587,20,20,2,1,55,169,8,5.625,109,65,100,0,7.195,7,11.362,13,3806060515,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806060553,7/5/2020,סוכר לבן 20,1587,20,20,4,2,65,135,8,5.625,84,65,100,0,9.915,6,9.919,12,3806060553,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806060580,7/5/2020,סוכר לבן 20,1587,20,20,4,3,44,123,8,5.625,94,65,100,0,8.214,5,8.221,14,3806060580,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806060726,7/5/2020,סוכר לבן 20,1587,20,24,2,4,70,304,8,5.625,190,65,120,0,17.195,3,21.379,13,3806060726,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806060787,7/5/2020,סוכר לבן 20,1587,20,20,2,5,42,51,8,5.625,26,65,100,0,2.78,14,3.006,16,3806060787,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
3806060905,7/5/2020,סוכר לבן 20,1587,20,20,2,6,63,130,8,5.625,85,65,100,0,4.872,12,9.08,13,3806060905,10,8,2020,0.297563,0.000827,0.004649,0.002976,0.000008,0.000046,100,0.000013,90,0.000011,0.000001,0.000189,0.059893,0.672128,0.059893,0.73202,0.001794,0.000001,0.00000016,0.021843,0.000016,0.021843,0.25,0.25,187.5,1.875
