ID's Feed,Name,raw,TergetVal,Dynamic Percentage,Kp,Ki,Kd,Box's Weight,M(t),Percentage(t),error(g),P,Sum_I,I,D,PID,SPEED,MSMStepCounter,SSMStepCounter,tick,Tstart,Treading,raw_factor,state
Id:3806057985.644000,סוכר לבן 20,1587,20,65,12,0.5,5,276,0,0,20,240,0,0,1000,255,550,19,19,0,16338,16454,0.1,1
Id:3806057985.644000,סוכר לבן 20,1587,20,65,12,0.5,5,276,4,20,16,192,0,0,-200,0,1000,161,161,1,16461,17474,0.1,1
Id:3806057985.644000,סוכר לבן 20,1587,20,65,12,0.5,5,276,6,30,14,168,0,0,-100,68,880,232,232,2,17484,18241,0.1,1
Id:3806057985.644000,סוכר לבן 20,1587,20,65,12,0.5,5,276,8,40,12,144,0,0,-100,44,923,274,274,3,18251,18655,0.1,1
Id:3806057985.644000,סוכר לבן 20,1587,20,65,12,0.5,5,276,10,50,10,120,0,0,-100,20,965,295,295,4,18665,18869,0.1,1
Id:3806057985.644000,סוכר לבן 20,1587,20,65,12,0.5,5,276,12,60,8,96,0,0,-100,0,1000,315,315,5,18879,19079,0.1,1
Id:3806057985.644000,סוכר לבן 20,1587,20,65,12,0.5,5,276,22,110,8,96,0,0,0,0,1000,582,582,6,19090,21975,0.1,0
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,22,0,-2,-24,0,-0.1,-100,0,1000,19,19,0,276099,276214,0.1,1
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,0,0,20,240,0,-7.6,1100,255,550,105,105,1,276226,277144,0.1,1
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,2,10,18,216,0,0,-100,116,796,167,167,2,277151,277590,0.1,1
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,6,30,14,168,0,0,-200,0,1000,190,190,3,277599,277799,0.1,1
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,8,40,12,144,0,0,-100,44,923,209,209,4,277811,278005,0.1,1
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,10,50,10,120,0,0,-100,20,965,230,230,5,278016,278219,0.1,1
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,12,60,8,96,0,0,-100,0,1000,328,328,6,278230,279250,0.1,1
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,16,80,4,48,0,0,-200,0,1000,442,443,7,279262,280494,0.1,2
Id:3806058247.632000,סוכר לבן 20,1587,20,65,12,0.5,5,296,24,120,4,48,0,0,0,0,1000,442,605,8,280503,281939,0.1,0
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,24,0,6,70.8,0,0,264,255,550,20,20,0,340970,341086,0.1,1
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,2,6,28,330.4,0,0,968,255,550,144,144,1,341093,341977,0.1,1
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,4,13,26,306.8,0,0,-88,218.8,616,323,323,2,341984,343262,0.1,1
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,8,26,22,259.6,0,0,-176,83.6,854,457,457,3,343270,344295,0.1,1
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,10,33,20,236,0,0,-88,148,739,479,479,4,344305,344507,0.1,1
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,12,40,18,212.4,0,0,-88,124.4,782,502,502,5,344516,344708,0.1,1
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,20,66,10,118,0,0,-352,0,1000,823,823,6,344718,347613,0.1,1
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,24,80,6,70.8,0,0,-176,0,1000,841,842,7,347624,347819,0.1,2
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,26,86,4,47.2,0,0,-88,0,1000,841,865,8,347828,348022,0.1,2
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,28,93,2,23.6,0,0,-88,0,1000,841,1192,9,348032,350924,0.1,2
Id:3806058319.632000,סוכר לבן 30,1587,30,68,11.8,1,4.4,308,32,106,2,23.6,0,0,0,0,1000,841,1425,10,350934,353000,0.1,0
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,32,0,-2,-23.6,0,-0.2,-88,0,1000,20,20,0,386106,386222,0.1,1
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,2,6,28,330.4,0,-14.2,1320,255,550,105,105,1,386233,387141,0.1,1
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,4,13,26,306.8,0,0,-88,218.8,616,514,514,2,387148,390077,0.1,1
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,6,20,24,283.2,0,0,-88,195.2,656,541,541,3,390085,390286,0.1,1
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,8,26,22,259.6,0,0,-88,171.6,699,566,566,4,390294,390487,0.1,1
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,18,60,12,141.6,0,0,-440,0,1000,665,665,5,390496,391316,0.1,1
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,24,80,6,70.8,0,0,-264,0,1000,818,819,6,391327,392979,0.1,2
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,26,86,4,47.2,0,0,-88,0,1000,818,1917,7,392988,402714,0.1,2
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,28,93,2,23.6,0,0,-88,0,1000,818,1940,8,402723,402918,0.1,2
Id:3806058373.133000,סוכר לבן 30,1587,30,68,11.8,1,4.4,344,30,100,2,23.6,0,0,0,0,1000,818,2313,9,402927,406237,0.1,0
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,0,0,30,354,0,0,1320,255,550,28,28,0,430812,431939,0.1,1
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,4,13,26,306.8,0,0,-176,130.8,771,198,198,1,431946,433160,0.1,1
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,6,20,24,283.2,0,0,-88,195.2,656,245,245,2,433168,433581,0.1,1
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,8,26,22,259.6,0,0,-88,171.6,699,399,399,3,433589,434818,0.1,1
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,10,33,20,236,0,0,-88,148,739,424,424,4,434827,435027,0.1,1
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,14,46,16,188.8,0,0,-176,12.8,979,472,472,5,435036,435445,0.1,1
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,16,53,14,165.2,0,0,-88,77.2,865,550,550,6,435456,436275,0.1,1
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,18,60,12,141.6,0,0,-88,53.6,907,571,571,7,436285,436478,0.1,1
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,22,73,8,94.4,0,0,-176,0,1000,590,591,8,436489,436680,0.1,2
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,24,80,6,70.8,0,0,-88,0,1000,590,615,9,436689,436893,0.1,2
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,26,86,4,47.2,0,0,-88,0,1000,590,1245,10,436902,442482,0.1,2
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,28,93,2,23.6,0,0,-88,0,1000,590,1455,11,442490,444346,0.1,2
Id:3806058416.132000,סוכר לבן 30,1587,30,68,11.8,1,4.4,360,30,100,2,23.6,0,0,0,0,1000,590,1944,12,444355,448695,0.1,0
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,0,0,30,354,0,0,1320,255,550,28,28,0,532772,533786,0.1,1
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,2,6,28,330.4,0,0,-88,242.4,573,150,150,1,533794,534663,0.1,1
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,12,40,18,212.4,0,0,-440,0,1000,290,290,2,534670,535696,0.1,1
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,14,46,16,188.8,0,0,-88,100.8,824,309,309,3,535706,535902,0.1,1
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,16,53,14,165.2,0,0,-88,77.2,865,839,839,4,535911,540873,0.1,1
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,18,60,12,141.6,0,0,-88,53.6,907,882,882,5,540883,541292,0.1,1
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,20,66,10,118,0,0,-88,30,948,1088,1088,6,541302,543363,0.1,1
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,22,73,8,94.4,0,0,-88,6.4,990,1107,1108,7,543373,543570,0.1,2
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,24,80,6,70.8,0,0,-88,0,1000,1107,1131,8,543580,543772,0.1,2
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,26,86,4,47.2,0,0,-88,0,1000,1107,1178,9,543781,544190,0.1,2
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,28,93,2,23.6,0,0,-88,0,1000,1107,1295,10,544198,545228,0.1,2
Id:3806058517.633000,סוכר לבן 30,1587,30,68,11.8,1,4.4,392,30,100,2,23.6,0,0,0,0,1000,1107,1761,11,545238,549371,0.1,0
Id:3806060515.238000,סוכר לבן 20,1587,20,65,12,0.5,5,424,0,0,20,240,0,0,1000,255,550,19,19,0,252461,252576,0.1,1
Id:3806060515.238000,סוכר לבן 20,1587,20,65,12,0.5,5,424,10,50,10,120,0,0,-500,0,1000,164,164,1,252583,253618,0.1,1
Id:3806060515.238000,סוכר לבן 20,1587,20,65,12,0.5,5,424,12,60,8,96,0,0,-100,0,1000,331,331,2,253629,255422,0.1,1
Id:3806060515.238000,סוכר לבן 20,1587,20,65,12,0.5,5,424,14,70,6,72,0,0,-100,0,1000,446,447,3,255433,256675,0.1,2
Id:3806060515.238000,סוכר לבן 20,1587,20,65,12,0.5,5,424,16,80,4,48,0,0,-100,0,1000,446,493,4,256684,257083,0.1,2
Id:3806060515.238000,סוכר לבן 20,1587,20,65,12,0.5,5,424,18,90,2,24,0,0,-100,0,1000,446,890,5,257092,260604,0.1,2
Id:3806060515.238000,סוכר לבן 20,1587,20,65,12,0.5,5,424,20,100,2,24,0,0,0,0,1000,446,1356,6,260614,264748,0.1,0
Id:3806060553.238000,סוכר לבן 20,1587,20,65,12,0.5,5,442,2,10,18,216,0,0,900,255,550,27,27,0,291451,292466,0.1,1
